width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
320,0.85,0,52,15436,True,255.9,4,252,252,3.9,0,
320,0.85,0,53,13483,True,256.9,5,252,252,4.9,0,
320,0.85,0,54,12858,True,255.0,4,251,251,4.0,0,
320,0.85,0,55,15313,True,250.7,4,246,246,4.7,0,
320,0.85,0,56,16779,True,256.6,5,252,252,4.6,0,
320,0.85,0,57,17842,True,254.5,5,250,250,4.5,0,
320,0.85,0,58,18348,True,250.7,4,246,246,4.7,0,
320,0.85,0,59,17708,True,254.4,5,249,249,5.4,0,
320,0.85,0,60,18345,True,255.6,5,251,251,4.6,0,
320,0.85,0,61,18012,True,244.7,5,240,240,4.7,0,
320,0.85,0,62,16786,True,257.3,2,254,254,3.3,0,
320,0.85,0,63,15613,True,265.4,2,263,263,2.4,0,
320,0.85,0,64,15732,True,249.7,2,247,247,2.7,0,
480,0.6,0,5,14693,True,266.2,3,263,263,3.2,0,
480,0.6,0,6,15330,True,242.4,3,239,239,3.4,0,
480,0.6,0,7,19194,True,242.8,3,240,240,2.8,0,
480,0.6,0,8,17464,True,249.7,5,245,245,4.7,0,
480,0.6,0,9,17397,True,254.2,5,250,250,4.2,0,
480,0.6,0,10,17601,True,239.4,3,236,236,3.4,0,
480,0.6,0,11,18088,True,248.8,3,245,245,3.8,0,
480,0.6,0,12,17055,True,254.4,3,251,251,3.4,0,
480,0.6,0,13,17505,True,640.9,3,638,638,2.9,0,
480,0.6,0,14,16862,True,403.5,2,401,401,2.5,0,
480,0.6,0,15,17823,True,247.6,3,245,245,2.6,0,
480,0.6,0,16,17988,True,250.4,3,247,247,3.4,0,
480,0.6,0,17,16967,True,307.8,3,305,305,2.8,0,
480,0.6,0,18,17403,True,251.4,3,248,248,3.4,0,
480,0.6,0,19,16648,True,273.1,3,270,270,3.1,0,
480,0.6,0,20,17503,True,243.8,3,241,241,2.8,0,
480,0.6,0,21,16881,True,243.0,3,240,240,3.0,0,
480,0.6,0,22,16836,True,250.9,3,248,248,2.9,0,
480,0.6,0,23,17397,True,268.3,3,265,265,3.3,0,
480,0.6,0,24,16157,True,257.2,3,254,254,3.2,0,
480,0.6,0,25,17045,True,252.7,3,250,250,2.7,0,
480,0.6,0,26,16873,True,255.0,3,252,252,3.0,0,
480,0.6,0,27,15963,True,248.7,3,246,246,2.7,0,
480,0.6,0,28,16509,True,269.9,3,267,267,2.9,0,
480,0.6,0,29,16267,True,254.8,3,252,252,2.8,0,
480,0.6,0,30,16030,True,268.0,3,265,265,3.0,0,
480,0.6,0,31,14034,True,261.0,2,258,258,3.0,0,
480,0.6,0,32,17612,True,267.8,3,264,264,3.8,1,
